areacode	cities	locodes	state name	state	country	parent areacode	introduced	overlay
869			Saint Kitts and Nevis	KN	KN	809	1996-10-01	No
870	Jonesboro	USJBR	Arkansas	AR	US	501	1997-04-14	No
872	Chicago	USCHI	Illinois	IL	US
873	Sherbrooke	CASBR	Quebec	QC	CA
876			Jamaica	JM	JM	809	1997-05-01	No
877			Not Applicable	NA	NA		1998-04-08
878	Pittsburgh	USPIT	Pennsylvania	PA	US
888			Not Applicable	NA	NA		1996-03-01
900			Not Applicable	NA	NA
901	Memphis	USMEM	Tennessee	TN	US		1952	No
902	Yarmouth	CAYRH	Nova Scotia	NS	CA		1952	No
903	Tyler	USTYR	Texas	TX	US	214	1990-11-04
904	Jacksonville	USJAX	Florida	FL	US	305	1965/07
905	Woodbridge	CAWDB	Ontario	ON	CA	416	1993-10-04
906	Marquette	USMQT	Michigan	MI	US	616	1961
907	Anchorage	USANC	Alaska	AK	US		1957	No
908	Newark	USEWR	New Jersey	NJ	US	201	1991-01-01
909	Riverside	USRAL	California	CA	US	714	1992-11-14
910	Fayetteville	USFAY	North Carolina	NC	US	919	1993-11-14
912	Savannah	USSAV	Georgia	GA	US	404	1954
913	Kansas City	USKCK	Kansas	KS	US		1952	No
914	White Plains	USWTS	New York	NY	US		1952	No
915	El Paso	USELP	Texas	TX	US		1952	No
916	Sacramento	USSAC	California	CA	US		1952	No
917	Brooklyn	USBOY	New York	NY	US	212/718	1992-01-01	Yes
918	Tulsa	USTUL	Oklahoma	OK	US	405	1953
919	Raleigh	USRAG	North Carolina	NC	US	704	1954
920	Milwaukee	USMKE	Wisconsin	WI	US	414	1997-07-26	No
925	Oakland	USOAK	California	CA	US	510	1998-03-14	No
928	Phoenix	USPHX	Arizona	AZ	US
929	Brooklyn	USBOY	New York	NY	US
930			Indiana	IN	US
931	Clarksville	USCKV	Tennessee	TN	US	615	1997-09-15	No
936	Conroe	USCXO	Texas	TX	US	409	2000-02-19	No
937	Dayton	USDAY	Ohio	OH	US	513	1996-09-28	No
938	Goodwater	USGWT	Alabama	AL	US
939	Bayamon	PRBAY	Puerto Rico	PR	US
940	Denton	USDTN	Texas	TX	US	817	1997-05-25	No
941	Sarasota	USZOR	Florida	FL	US	813	1995-05-28	No
947	Southfield	USSFJ	Michigan	MI	US
949	Santa Ana	USSNA	California	CA	US	714	1998-04-18	No
951	Riverside	USRAL	California	CA	US
952	Minneapolis	USMES	Minnesota	MN	US	612	2000-02-27	No
954	Fort Lauderdale	USFLL	Florida	FL	US	305	1995-09-11	No
956	Laredo	USLRD	Texas	TX	US	210	1997-07-07	No
959			Connecticut	CT	US
970	Fort Collins	USFNL	Colorado	CO	US	303	1995-04-02	No
971	Portland	USPDX	Oregon	OR	US	503	2000-10-01	Yes
972	Dallas	USDAL	Texas	TX	US	214	1996-09-14	Yes
973	Newark	USEWR	New Jersey	NJ	US	201	1997-06-01	No
978	Boston	USBOS	Massachusetts	MA	US	508	1997-09-01	No
979	College Station	USCLL	Texas	TX	US	409	2000-02-19	No
980	Charlotte	USCLT	North Carolina	NC	US
984	Raleigh	USRAG	North Carolina	NC	US
985	New Orleans	USMSY	Louisiana	LA	US
989	Saginaw	USSGM	Michigan	MI	US
